ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,213,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""chestitemShow""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,210,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""chestitemShow""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,201,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""itemsShow""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,198,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""itemsShow""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,189,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""spriteShow""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,186,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool) (this[""spriteShow""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,177,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""rightToolbox""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,174,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""rightToolbox""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,165,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""transparentBG""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,162,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""transparentBG""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,153,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""itemText""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,150,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""itemText""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,141,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""chestText""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,138,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""chestText""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,129,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""spriteText""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,126,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""spriteText""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,117,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OpenedExportedRoomOutlineSize""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,114,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int) (this[""OpenedExportedRoomOutlineSize""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,105,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ExportedRoomOutlineSize""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,102,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int) (this[""ExportedRoomOutlineSize""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,93,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OpenedRoomOutlineSize""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,90,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int) (this[""OpenedRoomOutlineSize""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,81,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""SelectedRoomOutlineSize""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,78,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int) (this[""SelectedRoomOutlineSize""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,69,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OpenedExportedRoomOutline""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,66,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Color) (this[""OpenedExportedRoomOutline""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,57,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ExportedRoomOutline""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,54,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Color) (this[""ExportedRoomOutline""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,45,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OpenedRoomOutline""] = value;"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,42,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Color) (this[""OpenedRoomOutline""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,33,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""SelectedRoomOutline""] = value;"
